剧本ID,剧目名称,剧目类别,内容量权重,网络密度,度中心化,网络节点数,网络边数估计,二值网络密度,平均边权,最大边权,发言轮次,场次数,角色数,角色列表,页数,字符数,文件路径,主角色关系,角色关系集合,主主题,主题集合,闭环ID集合,叙事结构线集合,波动型集合,关系演化结局集合,主闭环ID,主叙事结构线,主波动型,主关系演化结局,公案戏得分,家庭戏得分,江湖戏得分,历史戏得分,神怪戏得分,网络计算方法,数据说明
01031010,选元戎,历史戏,32.86,0.1871,0.3435,17,53,0.3897,0.4801,1.0,136,8,17,程咬金；唐王；秦英；房玄龄；詹龙；朝臣丙；朝臣丁；罗章；童乙；三朝臣；四朝臣；内侍；四童；三童；院子；詹虎；众人,7,8862,01000000/01031010_选元戎.pdf,权力关系,权力关系|亲属关系|冲突关系,政治权力,政治权力|战争武略|家庭亲情|恩怨报偿|除暴侠义,loop-024|loop-025|loop-031|loop-032|loop-002|loop-011|loop-050|loop-054,前锋型|中峰型|后峰型|多峰型,前锋-开端突发|中峰-中段计谋|中峰-中段征战|后峰-结尾爆发|后峰-终局和解|后峰-末端清算|多峰-恩怨反复,君臣尽忠|权力更替|权谋败露|功名显达|亲情牺牲|亲缘团圆|复仇完成,loop-024,前锋型,前锋-开端突发,君臣尽忠,9,23,10,90,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01031011,借茶活捉,家庭戏,26.98,0.6559,0.0403,4,6,1.0,0.6559,1.0,157,2,4,阎婆惜；张文远；书童甲；书童乙,8,10514,01000000/01031011_借茶活捉.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格,loop-000|loop-001|loop-009|loop-010|loop-003,平稳型|前锋型|多峰型|后峰型,平稳-循环回归|前锋-先决裂后修补|多峰-恩怨反复|后峰-压轴报偿|平稳-低振守常,亲缘团圆|代际和解|宗族复位|名节昭彰,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,45,1,29,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01031012,瑶池会,家庭戏,30.15,0.2049,0.394,12,27,0.4091,0.501,1.0,141,5,12,东方朔；康宁；夫人；西王母；郁垒；织女；嫦娥；云华夫人；太真夫人；神荼；众云童；龟形,7,9262,01000000/01031012_瑶池会.pdf,亲属关系,亲属关系|权力关系|婚恋关系,家庭亲情,家庭亲情|政治权力|文人世情|婚恋姻缘|战争武略,loop-001|loop-002|loop-025|loop-026|loop-031|loop-016|loop-023|loop-014,前锋型|后峰型|中峰型|多峰型,前锋-先决裂后修补|后峰-终局和解|中峰-中段计谋|后峰-末端清算|中峰-中段征战|多峰-连环误会|多峰-离合循环,代际和解|亲情牺牲|权力更替|主从归顺|权谋败露|夫妻重圆|婚恋成全,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,48,1,29,32,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032002,连环套【头、二本】,江湖戏,39.91,0.0702,0.1734,29,65,0.1601,0.4387,0.9975,212,16,29,窦尔敦；黄天霸；梁九公；朱光祖；彭朋；四家将；大蒙古人；小蒙古人；更夫甲；更夫乙；兵丁甲；兵丁乙；二内侍；四校尉；探子；八头目；大头目；二更夫；窦尔墩；二兵丁；龙套；家院；四英雄；旗牌；关泰；何路通；纪全；众人；报子,10,12063,01000000/01032002_连环套【头、二本】.pdf,冲突关系,冲突关系|亲属关系|权力关系,战争武略,战争武略|除暴侠义|家庭亲情|恩怨报偿|政治权力,loop-048|loop-049|loop-051|loop-052|loop-055|loop-002|loop-010|loop-030,多峰型|中峰型|前锋型|后峰型,多峰-连战递进|中峰-中段征战|前锋-早峰回落|后峰-压轴报偿|后峰-终局和解,敌对消灭|敌对和解|复仇完成|阵营转投|亲情牺牲|名节昭彰|主从归顺,loop-048,多峰型,多峰-连战递进,敌对消灭,0,29,96,31,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032003,连环套【四本】,江湖戏,27.26,0.1488,0.3922,11,18,0.3273,0.4547,0.9951,101,6,11,朱光祖；窦尔敦；黄天霸；关泰；何路通；喽啰甲；二喽啰；更夫；厨子；四头目；纪全,5,5931,01000000/01032003_连环套【四本】.pdf,亲属关系,亲属关系|同盟关系,战争武略,战争武略|家庭亲情|除暴侠义|恩怨报偿|礼教品格,loop-002|loop-000|loop-011|loop-009|loop-005|loop-040|loop-043,后峰型|平稳型|多峰型|中峰型,后峰-终局和解|平稳-循环回归|后峰-末端清算|多峰-恩怨反复|后峰-迟来显义|中峰-中段征战,亲情牺牲|亲缘团圆|宗族复位|义助功成|阵营转投,loop-002,后峰型,后峰-终局和解,亲情牺牲,5,32,75,36,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032005,新四十八扯,历史戏,27.53,0.6302,0.0,2,1,1.0,0.6302,0.6302,123,1,2,赵瑶颜；赵晃,12,16069,01000000/01032005_新四十八扯.pdf,权力关系,权力关系|冲突关系|亲属关系,战争武略,战争武略|政治权力|家庭亲情|公案冤狱|善恶转化,loop-030|loop-031|loop-024|loop-025|loop-033|loop-050|loop-057|loop-002,多峰型|中峰型|前锋型|后峰型,多峰-连战递进|中峰-中段征战|前锋-开端突发|中峰-中段计谋|中峰-中段审判|后峰-结尾爆发|中峰-中段悟转|后峰-终局和解,主从归顺|权谋败露|君臣尽忠|权力更替|复仇完成|阵营转投|亲情牺牲,loop-030,多峰型,多峰-连战递进,主从归顺,2,22,5,49,6,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032006,芙蓉诔,家庭戏,22.96,0.2001,0.354,7,10,0.4762,0.4203,0.9219,45,4,7,晴雯；贾宝玉；焙茗；丫鬟；仙女；晴雯嫂嫂；五儿,4,4117,01000000/01032006_芙蓉诔.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格,loop-001|loop-002|loop-009|loop-010|loop-005,前锋型|后峰型|多峰型,前锋-先决裂后修补|后峰-终局和解|多峰-恩怨反复|后峰-压轴报偿|后峰-迟来显义,代际和解|亲情牺牲|宗族复位|名节昭彰,loop-001,前锋型,前锋-先决裂后修补,代际和解,4,29,0,13,17,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032007,党人碑,历史戏,30.29,0.1861,0.6036,13,28,0.359,0.5183,1.0,137,4,13,谢琼仙；傅人龙；酒保；差官甲；差官乙；方氏；二军牢；龙套；二差官；官差乙；四女；中军；禁卒,7,8609,01000000/01032007_党人碑.pdf,权力关系,权力关系|亲属关系|同盟关系,家庭亲情,家庭亲情|战争武略|政治权力|除暴侠义|礼教品格,loop-030|loop-031|loop-024|loop-025|loop-001|loop-003|loop-039|loop-045,多峰型|中峰型|前锋型|平稳型,多峰-连战递进|中峰-中段征战|前锋-开端突发|中峰-中段计谋|前锋-先决裂后修补|平稳-低振守常,主从归顺|权谋败露|君臣尽忠|权力更替|代际和解|同盟破裂|阵营转投,loop-001,前锋型,前锋-先决裂后修补,代际和解,2,19,17,36,13,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032008,白傅遣姬,历史戏,22.07,0.6338,0.3688,3,3,1.0,0.6338,0.8972,52,2,3,白居易；樊素；院子,4,5116,01000000/01032008_白傅遣姬.pdf,权力关系,权力关系|亲属关系|同盟关系,家庭亲情,家庭亲情|战争武略|政治权力|恩怨报偿|礼教品格,loop-031|loop-032|loop-024|loop-025|loop-000|loop-009|loop-004|loop-040,中峰型|后峰型|前锋型|平稳型|多峰型,中峰-中段征战|后峰-结尾爆发|前锋-开端突发|中峰-中段计谋|平稳-循环回归|多峰-恩怨反复|中峰-中段伦理压迫,权谋败露|功名显达|君臣尽忠|权力更替|亲缘团圆|宗族复位|亲情牺牲|义助功成,loop-031,中峰型,中峰-中段征战,权谋败露,1,22,0,23,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032009,安五路,历史戏,29.13,0.1438,0.3003,13,27,0.3462,0.4155,0.991,85,5,13,诸葛亮；邓芝；刘禅；孙权；张昭；顾雍；张温；杜琼；董允；内侍；门官；探子；步骘,6,7833,01000000/01032009_安五路.pdf,权力关系,权力关系,政治权力,政治权力|战争武略|忠义家国|公案冤狱,loop-026|loop-024|loop-031|loop-032|loop-029,后峰型|前锋型|中峰型|多峰型,后峰-末端清算|前锋-开端突发|中峰-中段征战|后峰-结尾爆发|多峰-连战递进,主从归顺|君臣尽忠|权谋败露|功名显达,loop-026,后峰型,后峰-末端清算,主从归顺,1,31,2,129,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01032012,浣纱溪,历史戏,23.35,0.3172,0.557,4,5,0.8333,0.3807,0.8989,61,4,4,西施；范蠡；东施；众人,5,5915,01000000/01032012_浣纱溪.pdf,权力关系,权力关系|亲属关系,家庭亲情,家庭亲情|政治权力|战争武略|恩怨报偿|礼教品格,loop-024|loop-025|loop-030|loop-031|loop-001|loop-010|loop-003,前锋型|中峰型|多峰型|后峰型|平稳型,前锋-开端突发|中峰-中段计谋|多峰-连战递进|中峰-中段征战|前锋-先决裂后修补|后峰-压轴报偿|平稳-低振守常,君臣尽忠|权力更替|主从归顺|权谋败露|代际和解|名节昭彰,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,48,0,52,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01033001,狸猫换太子【头本】,历史戏,68.18,0.0565,0.2056,58,208,0.1258,0.4492,1.0,1137,35,58,陈琳；寇珠；李妃；刘妃；郭槐；宋真宗；赵德芳；狄妃；包山；包海；王氏；李氏；包员外；安人；包拯；秦凤；太子；储王；包勉；突利可汗；曹文豹；曹文虎；土地；众平章；众番兵；众人；玉皇大帝；紫徽星；文曲星；院子；丫鬟；山神；报子；太监；寇准；王延龄；李文辉；陈世美；方世贤；赵炳；刘秉忠；董国源；二太监；四宫娥；内侍；宫娥；大太监；八校尉；收生婆；大太监甲；武士；二大太监；黄面大仙；绿面大仙；玉面大仙；罗汉甲；罗汉乙；二罗汉,45,54839,01000000/01033001_狸猫换太子【头本】.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|政治权力|战争武略|恩怨报偿|礼教品格,loop-001|loop-002|loop-011|loop-009|loop-005|loop-026|loop-030,前锋型|后峰型|多峰型,前锋-先决裂后修补|后峰-终局和解|后峰-末端清算|多峰-恩怨反复|后峰-迟来显义|多峰-连战递进,代际和解|亲情牺牲|亲缘团圆|宗族复位|主从归顺,loop-001,前锋型,前锋-先决裂后修补,代际和解,41,51,9,71,37,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01033002,水漫金山寺,神怪戏,27.76,0.2937,0.404,10,26,0.5778,0.5083,0.999,113,3,10,白素贞；许仙；法海；监寺；船家；小青；众护法神；众人；蚌形；韦陀,6,6489,01000000/01033002_水漫金山寺.pdf,亲属关系,亲属关系|冲突关系|权力关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格|公案冤狱|战争武略,loop-000|loop-001|loop-009|loop-010|loop-005|loop-054|loop-048|loop-033,平稳型|前锋型|多峰型|后峰型|中峰型,平稳-循环回归|前锋-先决裂后修补|多峰-恩怨反复|后峰-压轴报偿|后峰-迟来显义|多峰-连战递进|中峰-中段审判,亲缘团圆|代际和解|宗族复位|名节昭彰|复仇完成|敌对消灭|权谋败露,loop-000,平稳型,平稳-循环回归,亲缘团圆,3,37,0,14,46,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01033004,贺后骂殿,公案戏,27.25,0.3034,0.3726,8,21,0.75,0.4045,0.9851,82,1,8,赵光义；贺后；赵德元；赵德芳；潘洪；张永恩；众朝官；杨继业,7,8304,01000000/01033004_贺后骂殿.pdf,权力关系,权力关系|亲属关系|冲突关系,家庭亲情,家庭亲情|政治权力|公案冤狱|礼教品格|恩怨报偿,loop-025|loop-026|loop-035|loop-033|loop-002|loop-005|loop-011|loop-055,中峰型|后峰型,中峰-中段计谋|后峰-末端清算|中峰-中段审判|后峰-终局和解|后峰-迟来显义|后峰-压轴报偿,权力更替|主从归顺|君臣尽忠|权谋败露|亲情牺牲|宗族复位|亲缘团圆|阵营转投,loop-025,中峰型,中峰-中段计谋,权力更替,56,48,1,54,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01034003,汴梁图,历史戏,27.95,0.2559,0.415,8,19,0.6786,0.3771,0.9907,169,8,8,王子；刘瑞莲；西宫；太师；大太监；赵甫；院子；四校尉,7,7587,01000000/01034003_汴梁图.pdf,权力关系,权力关系|亲属关系,政治权力,政治权力|家庭亲情|战争武略|恩怨报偿|忠义家国,loop-024|loop-025|loop-030|loop-031|loop-028|loop-001|loop-010|loop-007,前锋型|中峰型|多峰型|后峰型,前锋-开端突发|中峰-中段计谋|多峰-连战递进|中峰-中段征战|后峰-压轴报偿|前锋-先决裂后修补,君臣尽忠|权力更替|主从归顺|权谋败露|代际和解|名节昭彰|宗族复位,loop-024,前锋型,前锋-开端突发,君臣尽忠,5,30,4,60,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01034004,池水驿,家庭戏,32.25,0.1511,0.1288,13,27,0.3462,0.4367,0.9996,233,9,13,殷碧莲；倪厚；殷照磨；张润和；殷夫人；院子；四青袍；丑院子；四家丁；秋香；老院子；差人；店家,9,11642,01000000/01034004_池水驿.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|礼教品格|恩怨报偿,loop-001|loop-002|loop-005|loop-003|loop-010|loop-015|loop-012|loop-022,前锋型|后峰型|平稳型|中峰型,前锋-先决裂后修补|后峰-终局和解|后峰-迟来显义|平稳-低振守常|后峰-压轴报偿|平稳-循环回归|中峰-中段离合|前锋-先误判后澄清,代际和解|亲情牺牲|宗族复位|名节昭彰|婚恋错失|婚恋成全|礼法压服,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,72,13,30,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01034006,镔铁剑,家庭戏,25.27,0.4528,0.4256,5,9,0.9,0.5031,0.9999,138,1,5,妹妹；公子；院子；丑公子；丫鬟,5,6279,01000000/01034006_镔铁剑.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|恩怨报偿|礼教品格,loop-001|loop-002|loop-011|loop-009|loop-003|loop-015|loop-014|loop-021,前锋型|后峰型|多峰型|平稳型,前锋-先决裂后修补|后峰-终局和解|后峰-末端清算|多峰-恩怨反复|平稳-低振守常|平稳-循环回归|多峰-离合循环|平稳-中段微折,代际和解|亲情牺牲|亲缘团圆|宗族复位|婚恋错失|夫妻重圆|贞节守义,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,59,1,22,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01034007,艾孝子,家庭戏,28.75,0.3484,0.2221,8,18,0.6429,0.5419,0.9552,161,2,8,艾子诚；周仁全；康氏；周素秋；艾文仲；家童；老马贼；小马贼,8,9701,01000000/01034007_艾孝子.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|礼教品格|恩怨报偿|忠义家国,loop-000|loop-001|loop-005|loop-003|loop-011,平稳型|前锋型|后峰型,平稳-循环回归|前锋-先决裂后修补|后峰-迟来显义|平稳-低振守常|后峰-末端清算,亲缘团圆|代际和解|宗族复位,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,102,6,21,3,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01034008,醋中醋,家庭戏,29.29,0.2612,0.2768,8,15,0.5357,0.4875,1.0,251,5,8,张和尚；钱素娟；闵子千；钱母；钱舅；钱父；酒保；丫鬟,8,9697,01000000/01034008_醋中醋.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|礼教品格|恩怨报偿,loop-000|loop-001|loop-004|loop-005|loop-009|loop-017|loop-012|loop-022,平稳型|前锋型|中峰型|后峰型|多峰型,平稳-循环回归|前锋-先决裂后修补|中峰-中段伦理压迫|后峰-迟来显义|多峰-恩怨反复|后峰-终局和解|中峰-中段离合|前锋-先误判后澄清,亲缘团圆|代际和解|亲情牺牲|宗族复位|贞节守义|婚恋成全|礼法压服,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,68,0,5,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035001,狸猫换太子【三本】,公案戏,76.28,0.0653,0.3516,64,297,0.1473,0.4434,1.0,1368,55,64,包拯；庞吉；宋仁宗；赵德芳；展昭；郭槐；庞妃；李后；寇珠；包兴；范仲华；众百姓；百姓甲；田起元；田忠；四家丁；知县；门子；庞禄；庞昱；孙秀；太监；刘后；王延龄；陈世美；杨忠；太监甲；太监乙；黄门官；陈琳；八和尚；知府；四龙套；四青袍；王氏；老道；庞福；丫鬟；如府；二差人；禁卒；田婆；公孙策；了然；王朝；马汉；燕青；张龙；赵虎；董超；薛壩；鲁智；众喽兵；喽兵甲；范仲淹；众工匠；四宫娥；观音；项福；驿丞官；众教师；二武官；大太监甲；大太监乙,57,66585,01000000/01035001_狸猫换太子【三本】.pdf,权力关系,权力关系|亲属关系|审判与恩怨关系,政治权力,政治权力|公案冤狱|家庭亲情|礼教品格|恩怨报偿,loop-024|loop-025|loop-033|loop-034|loop-001|loop-004|loop-011|loop-062,前锋型|中峰型|多峰型|后峰型,前锋-开端突发|中峰-中段计谋|中峰-中段审判|多峰-审断反复|前锋-先决裂后修补|中峰-中段伦理压迫|后峰-末端清算,君臣尽忠|权力更替|权谋败露|功名显达|代际和解|亲情牺牲|亲缘团圆|恩情偿还,loop-024,前锋型,前锋-开端突发,君臣尽忠,138,49,11,80,11,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035002,徐母骂曹,家庭戏,25.06,0.3528,0.3954,6,11,0.7333,0.4811,0.9572,95,4,6,徐母；曹操；程昱；四曹将；家将；路人,5,6056,01000000/01035002_徐母骂曹.pdf,亲属关系,亲属关系|权力关系|冲突关系,家庭亲情,家庭亲情|战争武略|政治权力|礼教品格|除暴侠义,loop-002|loop-000|loop-005|loop-003|loop-030|loop-024|loop-048|loop-051,后峰型|平稳型|多峰型|前锋型,后峰-终局和解|平稳-循环回归|后峰-迟来显义|平稳-低振守常|多峰-连战递进|前锋-开端突发|前锋-早峰回落,亲情牺牲|亲缘团圆|宗族复位|代际和解|主从归顺|君臣尽忠|敌对消灭|敌对和解,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,52,12,48,5,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035003,宝玉出家,家庭戏,25.64,0.1364,0.3701,11,18,0.3273,0.4167,0.9626,60,3,11,贾宝玉；贾政；茫茫大士；渺渺真人；稍水甲；稍水乙；下书人；院子甲；院子；二稍水；二院子,4,4708,01000000/01035003_宝玉出家.pdf,亲属关系,亲属关系,家庭亲情,家庭亲情|恩怨报偿|礼教品格|忠义家国,loop-002|loop-000|loop-011|loop-009|loop-005,后峰型|平稳型|多峰型,后峰-终局和解|平稳-循环回归|后峰-末端清算|多峰-恩怨反复|后峰-迟来显义,亲情牺牲|亲缘团圆|宗族复位,loop-002,后峰型,后峰-终局和解,亲情牺牲,0,73,0,20,20,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035004,新三娘教子,家庭戏,33.72,0.3121,0.3847,10,28,0.6222,0.5017,1.0,327,7,10,王春娥；薛保；薛子奇；薛倚；张氏；刘氏；家院；张永；王恩；张旦,15,17556,01000000/01035004_新三娘教子.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|礼教品格|战争武略|政治权力|恩怨报偿,loop-001|loop-002|loop-004|loop-005|loop-009|loop-032|loop-024,前锋型|后峰型|中峰型|多峰型,前锋-先决裂后修补|后峰-终局和解|中峰-中段伦理压迫|后峰-迟来显义|多峰-恩怨反复|后峰-结尾爆发|前锋-开端突发,代际和解|亲情牺牲|宗族复位|功名显达|君臣尽忠,loop-001,前锋型,前锋-先决裂后修补,代际和解,0,134,1,29,2,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035005,慈孝图,家庭戏,28.25,0.3372,0.3283,10,29,0.6444,0.5232,1.0,115,1,10,吴明诗；夫人；小姐；院子；公子；兵卒丁；四兵卒；三兵卒；兵卒甲；龙套,6,7224,01000000/01035005_慈孝图.pdf,亲属关系,亲属关系|婚恋关系,家庭亲情,家庭亲情|婚恋姻缘|文人世情|礼教品格|恩怨报偿,loop-000|loop-001|loop-004|loop-005|loop-011|loop-017|loop-014|loop-021,平稳型|前锋型|中峰型|后峰型|多峰型,平稳-循环回归|前锋-先决裂后修补|中峰-中段伦理压迫|后峰-迟来显义|后峰-末端清算|后峰-终局和解|多峰-离合循环|平稳-中段微折,亲缘团圆|代际和解|亲情牺牲|宗族复位|贞节守义|夫妻重圆,loop-000,平稳型,平稳-循环回归,亲缘团圆,7,86,0,60,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035006,道州城,历史戏,36.26,0.1604,0.3698,23,88,0.3478,0.4611,0.9999,123,9,23,沈云英；沈至绪；李氏；张献忠；反将甲；反将乙；小丫鬟；姬尚勇；老太婆；探子；小家将；州官；州同；百姓甲；民妇戊；四民妇；百姓乙；百姓丙；百姓丁；民妇辛；兵卒甲；民妇己；民妇庚,7,8655,01000000/01035006_道州城.pdf,冲突关系,冲突关系|亲属关系,战争武略,战争武略|家庭亲情|恩怨报偿|忠义家国|礼教品格,loop-048|loop-049|loop-055|loop-056|loop-000|loop-011|loop-008,多峰型|中峰型|后峰型|平稳型,多峰-连战递进|中峰-中段征战|后峰-压轴报偿|后峰-末端清算|平稳-循环回归,敌对消灭|敌对和解|阵营转投|善恶翻转|亲缘团圆|名节昭彰,loop-048,多峰型,多峰-连战递进,敌对消灭,3,57,1,67,1,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035007,凤凰山,历史戏,26.41,0.1914,0.3062,8,15,0.5357,0.3572,0.8264,94,10,8,马三保；盖贤谟；尉迟恭；徐勣；四平章；唐王；大太监甲；报子,6,6701,01000000/01035007_凤凰山.pdf,权力关系,权力关系|冲突关系|同盟关系,战争武略,战争武略|政治权力|忠义家国|恩怨报偿|善恶转化,loop-032|loop-030|loop-025|loop-026|loop-029|loop-048|loop-056|loop-059,后峰型|多峰型|中峰型|平稳型,后峰-结尾爆发|多峰-连战递进|中峰-中段计谋|后峰-末端清算|平稳-余波消解,功名显达|主从归顺|权力更替|权谋败露|敌对消灭|善恶翻转,loop-032,后峰型,后峰-结尾爆发,功名显达,2,8,10,78,0,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
01035008,麻姑献寿,神怪戏,26.39,0.2464,0.2154,9,20,0.5556,0.4436,0.9373,80,6,9,麻姑；金母；李铁拐；吕洞宾；百花仙子；牡丹仙子；芍药仙子；海棠仙子；曹国舅,7,5751,01000000/01035008_麻姑献寿.pdf,亲属关系,亲属关系|权力关系,家庭亲情,家庭亲情|政治权力|战争武略|礼教品格|公案冤狱,loop-000|loop-001|loop-003|loop-004|loop-026|loop-032|loop-034,平稳型|前锋型|中峰型|后峰型|多峰型,平稳-循环回归|前锋-先决裂后修补|平稳-低振守常|中峰-中段伦理压迫|后峰-末端清算|后峰-结尾爆发|多峰-审断反复,亲缘团圆|代际和解|亲情牺牲|主从归顺|功名显达,loop-000,平稳型,平稳-循环回归,亲缘团圆,0,31,0,26,34,主要角色表+全文发言人抽取；邻近发言、同场共现和台词提及构边；网络密度为加权互动密度，度中心化为加权Freeman中心化。,已重算：不再使用按角色数估计边数的旧算法；二人戏不会被机械置为密度1。
