闭环ID,层级路径,角色关系类型,主题,叙事结构线,波动型,波动说明,关系演化结局,结局释义,剧本数量,剧本ID列表,代表剧目列表,叙事平均曲线,关系强度平均曲线,主题匹配均值,关系匹配均值,是否虚拟聚合,数据来源说明
loop-032,权力关系>战争武略>后峰型>后峰-结尾爆发>功名显达,权力关系,战争武略,后峰型,后峰-结尾爆发,前中段铺垫，终局集中爆发,功名显达,文人、寒士或忠臣获得功名封赠,21,02008056; 70004111; 01022004; 01029006; 05014009; 01036007; 90000009; 02011040; 80000005; 01006001; 05002005; 70005112; 03030001; 03090001; 03097007; 70005101; 70003127; 01016011; 03101003; 03065006; 03068002,八盘山；刀劈三关；明末遗恨；山海关【五、六本】；天水关；刀劈三关；罗成；宁武关【头、二本】,"[2.2,2.4,2.7,3,3.2,3.6,4.3,5.5,7.2,9]","[2.5,2.6,2.8,3,3.3,3.8,4.6,5.8,7,8.4]",72.62,47.76,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-033,权力关系>公案冤狱>中峰型>中峰-中段审判>权谋败露,权力关系,公案冤狱,中峰型,中峰-中段审判,中段公堂、质证或拷问形成峰值,权谋败露,阴谋、篡夺或谗害被揭穿,19,14002006; 01003009; 70901130; 02005011; 80000016; 14001008; 01001017; 03055006; 03055007; 04034002; 70002205; 02004052; 01031009; 02008044; 03033005; 03053004; 03034006; 01006018; 01013002,打龙袍；打龙袍；琼林宴·阳审；九莲灯【六本】；贺后骂殿；上天台；清官册；夜审潘洪,"[2.8,3.1,3.8,5.4,7.8,6.1,4.2,3.5,3.1,3.3]","[3,3.2,4,5.7,7.3,6,4.5,3.7,3.3,3.4]",22.37,56.68,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-034,权力关系>公案冤狱>多峰型>多峰-审断反复>功名显达,权力关系,公案冤狱,多峰型,多峰-审断反复,多次告状、审问、翻案形成波动,功名显达,文人、寒士或忠臣获得功名封赠,18,01035001; 01007003; 04026002; 01012005; 03055004; 70901147; 03053003; 02005006; 01033004; 03055001; 80000003; 01039004; 02005015; 04017002; 02005007; 14002006; 01003009; 70901130,狸猫换太子【三本】；铡美案；铡美案；打銮驾；告御状；奏朝草诏；遇皇后；九莲灯【头本】,"[3,5.2,4,6.6,4.4,7,5.1,6.2,4.8,5.6]","[3.2,5,4.2,6.3,4.7,6.6,5.2,6,5,5.8]",31.28,60.72,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-035,权力关系>公案冤狱>后峰型>后峰-末端清算>君臣尽忠,权力关系,公案冤狱,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,君臣尽忠,臣属以忠义完成政治关系,25,02005006; 01033004; 03055001; 80000003; 01039004; 02005015; 04017002; 02005007; 14002006; 01003009; 70901130; 02005011; 80000016; 14001008; 01001017; 03055006; 03055007; 04034002; 70002205; 02004052; 01031009; 02008044; 03033005; 03053004; 03034006,九莲灯【头本】；贺后骂殿；打潘豹；打龙袍；太君辞朝；九莲灯【十本】；审潘洪；九莲灯【二本】,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",23.84,58.32,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-036,同盟关系>忠义家国>后峰型>后峰-迟来显义>结义同心,同盟关系,忠义家国,后峰型,后峰-迟来显义,忠义/真相到后段才被确认,结义同心,伙伴或义军完成同盟确认,32,70003102; 04009002; 02008011; 02008009; 04025001; 70201109; 02002032; 02008007; 01011005; 70001111; 02008010; 70801109; 70202111; 02008008; 70003106; 03059002; 02012002; 02002035; 90000008; 03008003; 01004008; 01014006; 14001009; 01018005; 01026008; 02008017; 70901117; 02008012; 03044004; 03003001; 70901101; 14001003,桃园结义；岳母刺字；双尽忠【五本】；双尽忠【三本】；抗金兵；抗金兵；汉忠烈【头本】；双尽忠【头本】,"[2.1,2.3,2.5,2.9,3.4,4.1,5,6.4,7.8,8.5]","[2.4,2.5,2.8,3.2,3.8,4.5,5.6,6.7,7.5,8.1]",32.12,24.47,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-037,同盟关系>忠义家国>后峰型>后峰-压轴报偿>同盟破裂,同盟关系,忠义家国,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,同盟破裂,联盟因利益、误会或忠义分歧瓦解,22,02008007; 01011005; 70001111; 02008010; 70801109; 70202111; 02008008; 70003106; 03059002; 02012002; 02002035; 90000008; 03008003; 01004008; 01014006; 14001009; 01018005; 01026008; 02008017; 70901117; 02008012; 03044004,双尽忠【头本】；监酒令；文天祥；双尽忠【四本】；江汉渔歌；亡蜀鉴；双尽忠【二本】；屯土山,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",29.23,23.95,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-038,同盟关系>忠义家国>多峰型>多峰-连战递进>义助功成,同盟关系,忠义家国,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,义助功成,友人/侠士援助促成目标,20,70003106; 03059002; 02012002; 02002035; 90000008; 03008003; 01004008; 01014006; 14001009; 01018005; 01026008; 02008017; 70901117; 02008012; 03044004; 03003001; 70901101; 14001003; 03090007; 01015002,屯土山；请关胜；忠义图【二本】；汉忠烈【四本】；双阳公主；反延安；大保国；丁甲山,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",26.85,24.5,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-039,同盟关系>战争武略>多峰型>多峰-连战递进>同盟破裂,同盟关系,战争武略,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,同盟破裂,联盟因利益、误会或忠义分歧瓦解,19,03006002; 03019003; 70401106; 03007004; 02004020; 01015002; 01038010; 04012002; 03051006; 01011011; 01007002; 01023010; 02004018; 70004101; 03006007; 03097007; 03030006; 02003005; 70003105,夺小沛；金猛关；瓦口关；甘宁百骑劫魏营；瓦口关；古城相会；宁武关；瓦口关,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",79.79,22.42,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-040,同盟关系>战争武略>中峰型>中峰-中段征战>义助功成,同盟关系,战争武略,中峰型,中峰-中段征战,中段战斗或攻守形成主要峰值,义助功成,友人/侠士援助促成目标,22,04012002; 03051006; 01011011; 01007002; 01023010; 02004018; 70004101; 03006007; 03097007; 03030006; 02003005; 70003105; 03104001; 70003125; 02008013; 03068002; 03093006; 03017003; 03098004; 03017004; 70004111; 03080008,瓦口关；马陵道【六本】；白马坡；八大锤；延安关；战合肥；驱车战将；锤换带,"[3,3.7,4.8,6,7.5,6.8,5.4,4.2,3.8,4]","[3.3,3.9,4.9,5.8,7,6.5,5.3,4.4,4,4.2]",79.68,20.05,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-041,同盟关系>战争武略>后峰型>后峰-结尾爆发>阵营转投,同盟关系,战争武略,后峰型,后峰-结尾爆发,前中段铺垫，终局集中爆发,阵营转投,人物改变阵营并重写关系,15,03006007; 03097007; 03030006; 02003005; 70003105; 03104001; 70003125; 02008013; 03068002; 03093006; 03017003; 03098004; 03017004; 70004111; 03080008,锤换带；战郢城；雁门关【六本】；斩华雄；斩车胄；晋阳城；水淹七军；破华州,"[2.2,2.4,2.7,3,3.2,3.6,4.3,5.5,7.2,9]","[2.5,2.6,2.8,3,3.3,3.8,4.6,5.8,7,8.4]",79.67,19.73,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-042,同盟关系>除暴侠义>前锋型>前锋-早峰回落>义助功成,同盟关系,除暴侠义,前锋型,前锋-早峰回落,前段强冲突后逐步回落,义助功成,友人/侠士援助促成目标,23,01019011; 02012012; 01014022; 03084001; 01020005; 04027002; 04010006; 01018014; 02012035; 02012043; 01026008; 01027003; 02003013; 04025002; 02012001; 01015002; 02012024; 01025002; 13001007; 03044004; 05018005; 02012020; 02002035,九龙杯；九龙杯【七本】；四杰村；送京娘；义旗令；打登州；通天犀；冀州城,"[5.2,8.1,6,4.8,3.9,3.3,3,2.8,2.7,2.9]","[5,7.5,5.8,4.6,3.8,3.4,3.1,2.9,2.8,3]",29.74,24.96,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-043,同盟关系>除暴侠义>中峰型>中峰-中段征战>阵营转投,同盟关系,除暴侠义,中峰型,中峰-中段征战,中段战斗或攻守形成主要峰值,阵营转投,人物改变阵营并重写关系,17,01018014; 02012035; 02012043; 01026008; 01027003; 02003013; 04025002; 02012001; 01015002; 02012024; 01025002; 13001007; 03044004; 05018005; 02012020; 02002035; 01019009,冀州城；东昌府【二本】；弓砚缘【七本】；三结义；三门街【五、六本】；凤凰台；借赵云；忠义图【头本】,"[3,3.7,4.8,6,7.5,6.8,5.4,4.2,3.8,4]","[3.3,3.9,4.9,5.8,7,6.5,5.3,4.4,4,4.2]",28.0,25.35,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-044,同盟关系>除暴侠义>后峰型>后峰-压轴报偿>君臣尽忠,同盟关系,除暴侠义,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,君臣尽忠,臣属以忠义完成政治关系,20,03109005; 02012002; 01006010; 02010034; 02006052; 70003102; 03050003; 01023005; 01019011; 02012012; 01014022; 03084001; 01020005; 04027002; 04010006; 01018014; 02012035; 02012043; 01026008; 01027003,玉麟图；忠义图【二本】；落马湖；大悲楼；黄草山；桃园结义；铁丘坟；洗浮山,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",32.55,26.05,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-045,同盟关系>政治权力>前锋型>前锋-开端突发>阵营转投,同盟关系,政治权力,前锋型,前锋-开端突发,开端即爆发危机，后续处理后果,阵营转投,人物改变阵营并重写关系,19,02005007; 01033004; 01019001; 03093005; 02005011; 80000016; 02008017; 01004001; 01032009; 01004008; 01026002; 03103001; 03093001; 04017003; 02005006; 03072001; 03106004; 02001033; 01005007,九莲灯【二本】；贺后骂殿；进妲己【全本】；逍遥津；九莲灯【六本】；贺后骂殿；梅花妆；逍遥津,"[8.4,6.2,5,4.3,3.7,3.3,3.1,3,2.9,3.1]","[7.8,5.8,4.8,4.1,3.5,3.2,3,2.9,2.8,3]",62.16,16.32,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-046,同盟关系>政治权力>中峰型>中峰-中段计谋>君臣尽忠,同盟关系,政治权力,中峰型,中峰-中段计谋,中段设局、用计、试探形成波峰,君臣尽忠,臣属以忠义完成政治关系,34,70901147; 02004052; 03055001; 01011005; 02002032; 01013001; 01035001; 03027006; 70401104; 01031009; 02005015; 01034003; 14001008; 02008009; 03033005; 02005007; 01033004; 01019001; 03093005; 02005011; 80000016; 02008017; 01004001; 01032009; 01004008; 01026002; 03103001; 03093001; 04017003; 02005006; 03072001; 03106004; 02001033; 01005007,奏朝草诏；定中原；打潘豹；监酒令；汉忠烈【头本】；司马逼宫；狸猫换太子【三本】；骂杨广,"[3.2,3.5,4.1,5.5,7.2,6.4,5,3.8,3.2,3.4]","[3.1,3.4,4,5.2,6.8,6,4.8,3.9,3.4,3.5]",64.65,17.41,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-047,同盟关系>政治权力>后峰型>后峰-末端清算>结义同心,同盟关系,政治权力,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,结义同心,伙伴或义军完成同盟确认,24,03027006; 70401104; 01031009; 02005015; 01034003; 14001008; 02008009; 03033005; 02005007; 01033004; 01019001; 03093005; 02005011; 80000016; 02008017; 01004001; 01032009; 01004008; 01026002; 03103001; 03093001; 04017003; 02005006; 03072001,骂杨广；青梅煮酒论英雄；雍凉关；九莲灯【十本】；汴梁图；上天台；双尽忠【三本】；司马师逼宫,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",64.0,16.33,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-048,冲突关系>战争武略>多峰型>多峰-连战递进>敌对消灭,冲突关系,战争武略,多峰型,多峰-连战递进,多场战斗/交锋递进形成多峰,敌对消灭,冲突一方被击败或处死,31,03065006; 02011040; 03097007; 02004020; 03104001; 01006002; 03001005; 04003003; 04012002; 01038010; 03098004; 70006104; 02004018; 03006002; 03096005; 70003122; 03017003; 03019003; 03065003; 02008013; 01023010; 03098005; 70003108; 03042002; 70004101; 70401106; 01008006; 03019004; 70003125; 03093006; 01006007,取雒城；宁武关【头、二本】；战郢城；瓦口关；晋阳城；战长沙；荥阳关；定军山,"[3.4,5,4.1,6,4.8,7.1,5.2,7.8,6,8.5]","[3.8,5.2,4.4,5.8,5,6.8,5.5,7.4,6.2,8]",81.61,39.87,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-049,冲突关系>战争武略>中峰型>中峰-中段征战>敌对和解,冲突关系,战争武略,中峰型,中峰-中段征战,中段战斗或攻守形成主要峰值,敌对和解,敌我矛盾转为讲和、招安或互认,21,04003003; 04012002; 01038010; 03098004; 70006104; 02004018; 03006002; 03096005; 70003122; 03017003; 03019003; 03065003; 02008013; 01023010; 03098005; 70003108; 03042002; 70004101; 70401106; 01008006; 03019004,定军山；瓦口关；宁武关；采石矶；定军山；战合肥；夺小沛；战长沙,"[3,3.7,4.8,6,7.5,6.8,5.4,4.2,3.8,4]","[3.3,3.9,4.9,5.8,7,6.5,5.3,4.4,4,4.2]",80.05,39.67,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-050,冲突关系>战争武略>后峰型>后峰-结尾爆发>复仇完成,冲突关系,战争武略,后峰型,后峰-结尾爆发,前中段铺垫，终局集中爆发,复仇完成,受害者或其代理人完成复仇,20,03096005; 70003122; 03017003; 03019003; 03065003; 02008013; 01023010; 03098005; 70003108; 03042002; 70004101; 70401106; 01008006; 03019004; 70003125; 03093006; 01006007; 03060001; 05014006; 03047003,战长沙；战长沙；战冀州；金猛关；战潼关；破华州；延安关；战太平,"[2.2,2.4,2.7,3,3.2,3.6,4.3,5.5,7.2,9]","[2.5,2.6,2.8,3,3.3,3.8,4.6,5.8,7,8.4]",78.05,38.5,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-051,冲突关系>除暴侠义>前锋型>前锋-早峰回落>敌对和解,冲突关系,除暴侠义,前锋型,前锋-早峰回落,前段强冲突后逐步回落,敌对和解,敌我矛盾转为讲和、招安或互认,18,01019009; 02004020; 02012035; 02012002; 03050003; 01021001; 05015002; 03006002; 02012036; 03097007; 01019013; 01011011; 03075001; 02010034; 03059003; 04012002; 01013007; 01014022,曾头市；瓦口关；东昌府【二本】；忠义图【二本】；铁丘坟；许田射鹿；恶虎关；夺小沛,"[5.2,8.1,6,4.8,3.9,3.3,3,2.8,2.7,2.9]","[5,7.5,5.8,4.6,3.8,3.4,3.1,2.9,2.8,3]",27.28,32.17,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-052,冲突关系>除暴侠义>中峰型>中峰-中段征战>复仇完成,冲突关系,除暴侠义,中峰型,中峰-中段征战,中段战斗或攻守形成主要峰值,复仇完成,受害者或其代理人完成复仇,22,03006002; 02012036; 03097007; 01019013; 01011011; 03075001; 02010034; 03059003; 04012002; 01013007; 01014022; 03042001; 02011012; 04025002; 03042002; 01012004; 02005034; 03019002; 04010006; 02006052; 03008001; 70003108,夺小沛；东昌府【三本】；战郢城；磐河战；白马坡；磐河战；大悲楼；持轮战,"[3,3.7,4.8,6,7.5,6.8,5.4,4.2,3.8,4]","[3.3,3.9,4.9,5.8,7,6.5,5.3,4.4,4,4.2]",23.32,33.36,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-053,冲突关系>除暴侠义>后峰型>后峰-压轴报偿>阵营转投,冲突关系,除暴侠义,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,阵营转投,人物改变阵营并重写关系,15,03059003; 04012002; 01013007; 01014022; 03042001; 02011012; 04025002; 03042002; 01012004; 02005034; 03019002; 04010006; 02006052; 03008001; 70003108,持轮战；瓦口关；恶虎村；四杰村；父子圆；采石矶；借赵云；卧虎山,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",23.0,32.8,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-054,冲突关系>恩怨报偿>多峰型>多峰-恩怨反复>复仇完成,冲突关系,恩怨报偿,多峰型,多峰-恩怨反复,报恩、报仇、追偿交替出现,复仇完成,受害者或其代理人完成复仇,22,70004101; 03059003; 03104001; 02006004; 02001028; 03092001; 02001026; 03017003; 03042001; 03017004; 03042002; 01026003; 03046007; 03060001; 03086003; 04032002; 01019013; 03006002; 05012001; 01008006; 70003122; 02012035,驱车战将；持轮战；晋阳城；锁五龙【全本】；米注山【四本】；驱车战将；米注山【头、二本】；战冀州,"[3.2,5.4,3.6,6.2,4,5.8,4.2,6.8,4.5,7.2]","[3.5,5.2,3.8,6,4.4,5.5,4.5,6.4,4.8,6.8]",23.0,37.27,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-055,冲突关系>恩怨报偿>后峰型>后峰-压轴报偿>阵营转投,冲突关系,恩怨报偿,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,阵营转投,人物改变阵营并重写关系,17,03017003; 03042001; 03017004; 03042002; 01026003; 03046007; 03060001; 03086003; 04032002; 01019013; 03006002; 05012001; 01008006; 70003122; 02012035; 03028002; 03065006,战冀州；父子圆；赚历城；卧虎山；兴赵灭屠；龙虎斗；封丘大战；擒乌龙,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",22.29,36.88,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-056,冲突关系>恩怨报偿>后峰型>后峰-末端清算>善恶翻转,冲突关系,恩怨报偿,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,善恶翻转,前期善恶判断被后期反证,19,03047003; 01007011; 03097007; 01012004; 05006004; 01011003; 03016004; 05015002; 70004101; 03059003; 03104001; 02006004; 02001028; 03092001; 02001026; 03017003; 03042001; 03017004; 03042002,哭秦庭；蝴蝶杯【后本】；战郢城；莲花湖；要离刺庆忌【前部】；回龙阁；白龙关；恶虎关,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",25.68,38.32,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-057,冲突关系>善恶转化>中峰型>中峰-中段悟转>阵营转投,冲突关系,善恶转化,中峰型,中峰-中段悟转,人物在中段醒悟、悔改或皈依,阵营转投,人物改变阵营并重写关系,19,70003106; 03047003; 03096005; 01007014; 03019005; 01022004; 02011012; 05017001; 03097007; 70601104; 03098005; 70202111; 03065006; 01013012; 03013006; 03075007; 02007031; 03098004; 04003003,屯土山；哭秦庭；战长沙；五雷阵；夺太仓；明末遗恨；采石矶；战北原,"[3.8,4,4.4,5.8,6.5,4.8,3.5,2.9,2.6,2.8]","[3.6,3.8,4.2,5.2,5.8,4.5,3.4,3,3.2,3.6]",12.58,37.84,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-058,冲突关系>善恶转化>后峰型>后峰-后段反转>善恶翻转,冲突关系,善恶转化,后峰型,后峰-后段反转,后半部身份、阵营或善恶判断反转,善恶翻转,前期善恶判断被后期反证,33,03019004; 01018014; 03104001; 02004020; 02001028; 03017003; 03017004; 04012002; 03060001; 05014008; 03017005; 70004101; 70601105; 05016003; 03042005; 70003106; 03047003; 03096005; 01007014; 03019005; 01022004; 02011012; 05017001; 03097007; 70601104; 03098005; 70202111; 03065006; 01013012; 03013006; 03075007; 02007031; 03098004,取金陵；冀州城；晋阳城；瓦口关；米注山【四本】；战冀州；赚历城；瓦口关,"[3.1,3.3,3.4,3.7,4,4.4,6.8,5.2,7.5,4.6]","[3.4,3.5,3.6,3.9,4.1,4.8,6.2,5,7,4.8]",14.45,38.82,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-059,冲突关系>善恶转化>平稳型>平稳-余波消解>敌对消灭,冲突关系,善恶转化,平稳型,平稳-余波消解,末段以解释、规训或安顿消解余波,敌对消灭,冲突一方被击败或处死,23,04012002; 03060001; 05014008; 03017005; 70004101; 70601105; 05016003; 03042005; 70003106; 03047003; 03096005; 01007014; 03019005; 01022004; 02011012; 05017001; 03097007; 70601104; 03098005; 70202111; 03065006; 01013012; 03013006,瓦口关；封丘大战；截江夺斗；葭萌关；驱车战将；赤壁鏖兵【五本】；康郎山；明末孤忠,"[4.2,4,3.8,3.5,3.2,3,2.8,2.6,2.4,2.3]","[4,3.9,3.6,3.4,3.1,2.8,2.7,2.5,2.3,2.2]",13.74,37.96,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-060,审判与恩怨关系>公案冤狱>中峰型>中峰-中段审判>冤案昭雪,审判与恩怨关系,公案冤狱,中峰型,中峰-中段审判,中段公堂、质证或拷问形成峰值,冤案昭雪,冤屈被查明并恢复清白,30,04026002; 01007003; 70901130; 01035001; 70402101; 70402102; 70201202; 01002006; 03040002; 03091006; 04017002; 70902171; 03055004; 04034001; 03055006; 01013020; 01014019; 01013006; 70002205; 80000006; 03041007; 01016017; 04004001; 02005006; 70902157; 01001017; 01026004; 01005008; 02008044; 70001101,铡美案；铡美案；琼林宴·阳审；狸猫换太子【三本】；铡判官；铡美案；三堂会审；探阴山,"[2.8,3.1,3.8,5.4,7.8,6.1,4.2,3.5,3.1,3.3]","[3,3.2,4,5.7,7.3,6,4.5,3.7,3.3,3.4]",37.27,28.2,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-061,审判与恩怨关系>公案冤狱>多峰型>多峰-审断反复>恶人受惩,审判与恩怨关系,公案冤狱,多峰型,多峰-审断反复,多次告状、审问、翻案形成波动,恶人受惩,作恶者被审判、报应或处置,20,01002006; 03040002; 03091006; 04017002; 70902171; 03055004; 04034001; 03055006; 01013020; 01014019; 01013006; 70002205; 80000006; 03041007; 01016017; 04004001; 02005006; 70902157; 01001017; 01026004,探阴山；法门寺；乌盆记；审潘洪；白罗衫·看状；告御状；双合印；夜审潘洪,"[3,5.2,4,6.6,4.4,7,5.1,6.2,4.8,5.6]","[3.2,5,4.2,6.3,4.7,6.6,5.2,6,5,5.8]",33.75,25.2,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-062,审判与恩怨关系>公案冤狱>后峰型>后峰-末端清算>恩情偿还,审判与恩怨关系,公案冤狱,后峰型,后峰-末端清算,关系矛盾在结尾审判、报仇或处置,恩情偿还,受恩者完成报答,20,03055006; 01013020; 01014019; 01013006; 70002205; 80000006; 03041007; 01016017; 04004001; 02005006; 70902157; 01001017; 01026004; 01005008; 02008044; 70001101; 01005015; 01027008; 03053002; 14002007,夜审潘洪；花蝴蝶；五花洞；奇冤报；清官册·夜审潘洪；清官册；双合印；郿邬县,"[2.6,2.8,3,3.2,3.5,4,5.1,6.8,8.1,7]","[2.8,3,3.1,3.4,3.8,4.2,5,6.5,7.8,6.4]",30.7,24.25,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-063,审判与恩怨关系>恩怨报偿>多峰型>多峰-恩怨反复>恶人受惩,审判与恩怨关系,恩怨报偿,多峰型,多峰-恩怨反复,报恩、报仇、追偿交替出现,恶人受惩,作恶者被审判、报应或处置,29,03008001; 04034001; 02012043; 01012004; 01029007; 04026002; 02012036; 70902171; 01013006; 05015002; 70901130; 03059003; 01006004; 01001018; 02006004; 02012035; 01012014; 80000018; 01018014; 03016004; 02004028; 02008006; 02005015; 05006004; 03042001; 01011003; 02006052; 03041007; 04032002,风雪夺昆仑；双合印；弓砚缘【七本】；莲花湖；吴汉杀妻；铡美案；东昌府【三本】；白罗衫·看状,"[3.2,5.4,3.6,6.2,4,5.8,4.2,6.8,4.5,7.2]","[3.5,5.2,3.8,6,4.4,5.5,4.5,6.4,4.8,6.8]",26.97,24.69,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
loop-064,审判与恩怨关系>恩怨报偿>后峰型>后峰-压轴报偿>恩情偿还,审判与恩怨关系,恩怨报偿,后峰型,后峰-压轴报偿,终局集中完成赏罚、封赠或报应,恩情偿还,受恩者完成报答,22,70902171; 01013006; 05015002; 70901130; 03059003; 01006004; 01001018; 02006004; 02012035; 01012014; 80000018; 01018014; 03016004; 02004028; 02008006; 02005015; 05006004; 03042001; 01011003; 02006052; 03041007; 04032002,白罗衫·看状；奇冤报；恶虎关；琼林宴·阳审；持轮战；九更天；双狮图；锁五龙【全本】,"[2.5,2.6,2.9,3.3,3.8,4.5,5.4,6.3,7.8,8.2]","[2.7,2.9,3.1,3.6,4,4.7,5.6,6.5,7.4,8]",26.77,23.09,是,基于1473份京剧剧本文本关键词匹配后生成的虚拟聚合闭环数据；关系、主题、结构字段均按用户限定词表归一。
